entry_name,entry_name_code,date,adj_day_of_year,quality,row,col,plt_id,test_loc
NAI-14-132,62,2018-04-18,108,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2018-05-10,130,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2018-06-07,158,5,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2018-07-17,198,5,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2018-08-15,227,6,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2018-09-12,255,5,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2018-10-02,275,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2018-11-09,313,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-04-17,107,3,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-05-02,122,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-06-13,164,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-06-17,168,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-07-17,198,5,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-08-22,234,3,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-09-16,259,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-10-10,283,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2019-11-01,305,3,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-04-28,118,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-05-18,138,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-06-17,168,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-07-15,196,5,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-08-06,218,7,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-09-02,245,3,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-10-15,288,2,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-11-05,309,2,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-10-15,288,2,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2020-10-23,296,3,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-03-30,89,2,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-04-22,112,2,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-05-28,148,2,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-06-11,162,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-07-13,194,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-08-11,223,4,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-09-17,260,3,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-10-13,286,1,17,1,241,"Adelphia, NJ"
NAI-14-132,62,2021-11-18,322,4,17,1,241,"Adelphia, NJ"
BAR PP 7236V,20,2018-04-18,108,5,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2018-05-10,130,7,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2018-06-07,158,5,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2018-07-17,198,5,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2018-08-15,227,7,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2018-09-12,255,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2018-10-02,275,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2018-11-09,313,8,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-04-17,107,8,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-05-02,122,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-06-13,164,5,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-06-17,168,4,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-07-17,198,5,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-08-22,234,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-09-16,259,7,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-10-10,283,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2019-11-01,305,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-04-28,118,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-05-18,138,7,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-06-17,168,4,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-07-15,196,4,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-08-06,218,7,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-09-02,245,6,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-10-15,288,5,16,1,240,"Adelphia, NJ"
BAR PP 7236V,20,2020-11-05,309,6,16,1,240,"Adelphia, NJ"
