RATING_EVENT_CODE,BETA,PLOC_CODE,PLOC_EFF,ENTRY_CODE,ENTRY_EFF,THETA,QUALITY
2,-0.4,1,-0.9484064258300993,9,-1.1810685201432427,-2.129474945973342,2
1,-0.8,1,-0.7802592417110383,9,-1.1810685201432427,-1.961327761854281,3
3,0.0,1,-0.4829455298126058,9,-1.1810685201432427,-1.6640140499558485,2
5,0.8,1,-0.932906741890462,9,-1.1810685201432427,-2.113975262033705,1
5,0.8,1,-1.072636936419167,9,-1.1810685201432427,-2.2537054565624097,1
4,0.40000000000000013,1,-0.9935065921950592,9,-1.1810685201432427,-2.174575112338302,1
5,0.8,1,-0.7969819041791608,9,-1.1810685201432427,-1.9780504243224035,2
2,-0.4,1,-0.8836775459066699,9,-1.1810685201432427,-2.0647460660499126,3
4,0.40000000000000013,1,-0.7045251552683042,9,-1.1810685201432427,-1.8855936754115468,2
3,0.0,1,-1.0808199156988771,9,-1.1810685201432427,-2.2618884358421196,1
2,-0.4,1,-0.870467693740361,9,-1.1810685201432427,-2.0515362138836037,1
4,0.40000000000000013,1,-1.3969582937112865,9,-1.1810685201432427,-2.578026813854529,1
1,-0.8,1,-0.866638222436348,9,-1.1810685201432427,-2.0477067425795905,1
5,0.8,1,-1.039128833467712,9,-1.1810685201432427,-2.2201973536109545,3
1,-0.8,1,-0.6848595897568559,9,-1.1810685201432427,-1.8659281099000986,3
4,0.40000000000000013,1,-0.5254876957017105,9,-1.1810685201432427,-1.7065562158449532,3
3,0.0,1,-0.7136433590726697,9,-1.1810685201432427,-1.8947118792159126,3
3,0.0,1,-0.8972010931259442,9,-1.1810685201432427,-2.078269613269187,2
5,0.8,1,-0.71621680116208,9,-1.1810685201432427,-1.8972853213053227,3
1,-0.8,1,-0.6538652971848181,9,-1.1810685201432427,-1.8349338173280607,3
3,0.0,1,-0.7383630134634513,9,-1.1810685201432427,-1.919431533606694,2
2,-0.4,1,-0.6465268896421781,9,-1.1810685201432427,-1.8275954097854208,4
1,-0.8,1,-1.1195920042964822,9,-1.1810685201432427,-2.300660524439725,2
1,-0.8,1,-1.1981963461478988,9,-1.1810685201432427,-2.3792648662911415,2
4,0.40000000000000013,1,-0.5547990199860462,9,-1.1810685201432427,-1.735867540129289,1
1,-0.8,1,-0.7831919838270966,9,-1.1810685201432427,-1.9642605039703394,3
2,-0.4,1,-0.8954060834671433,9,-1.1810685201432427,-2.076474603610386,3
1,-0.8,1,-1.0281778917657207,9,-1.1810685201432427,-2.209246411908963,2
1,-0.8,1,-0.5019737659240625,9,-1.1810685201432427,-1.6830422860673053,3
4,0.40000000000000013,1,-1.3094875033830145,9,-1.1810685201432427,-2.490556023526257,2
4,0.40000000000000013,1,-0.6005892076509997,9,-1.1810685201432427,-1.7816577277942423,2
5,0.8,1,-1.0371680619445613,9,-1.1810685201432427,-2.218236582087804,1
2,-0.4,1,-1.0018971972876292,9,-1.1810685201432427,-2.182965717430872,4
2,-0.4,1,-0.8646494378059554,9,-1.1810685201432427,-2.045717957949198,3
1,-0.8,1,-0.39042504517630416,9,-1.1810685201432427,-1.571493565319547,6
5,0.8,1,-1.300976018921359,9,-1.1810685201432427,-2.482044539064602,1
4,0.40000000000000013,1,-0.6698510037011387,9,-1.1810685201432427,-1.8509195238443814,1
3,0.0,1,-0.7666291265339906,9,-1.1810685201432427,-1.9476976466772333,3
4,0.40000000000000013,1,-0.8558291330808003,9,-1.1810685201432427,-2.036897653224043,2
3,0.0,1,-1.190351331684218,9,-1.1810685201432427,-2.3714198518274605,2
3,0.0,1,-1.1231065082432659,9,-1.1810685201432427,-2.3041750283865086,2
3,0.0,1,-0.9223954429479683,9,-1.1810685201432427,-2.103463963091211,3
1,-0.8,1,-1.1302679730630472,9,-1.1810685201432427,-2.31133649320629,1
2,-0.4,1,-1.0595529906813455,9,-1.1810685201432427,-2.240621510824588,5
1,-0.8,1,-0.9228900958101272,9,-1.1810685201432427,-2.1039586159533696,1
3,0.0,1,-0.9867404838480255,9,-1.1810685201432427,-2.1678090039912683,1
5,0.8,1,-0.8617768328938352,9,-1.1810685201432427,-2.042845353037078,1
1,-0.8,1,-0.39637777910887895,9,-1.1810685201432427,-1.5774462992521217,3
1,-0.8,1,-0.9592625403952667,9,-1.1810685201432427,-2.1403310605385095,1
3,0.0,1,-0.8022932581239467,9,-1.1810685201432427,-1.9833617782671893,1
4,0.40000000000000013,1,-0.893510192717489,9,-1.1810685201432427,-2.0745787128607316,1
2,-0.4,1,-1.1083454466330271,9,-1.1810685201432427,-2.28941396677627,1
4,0.40000000000000013,1,-0.6443384139749522,9,-1.1810685201432427,-1.8254069341181949,1
5,0.8,1,-1.3660047859304316,9,-1.1810685201432427,-2.547073306073674,3
5,0.8,1,-0.9425423265460888,9,-1.1810685201432427,-2.1236108466893313,2
5,0.8,1,-0.6981305787054188,9,-1.1810685201432427,-1.8791990988486615,1
1,-0.8,1,-0.6609587454542699,9,-1.1810685201432427,-1.8420272655975127,3
1,-0.8,1,-1.4238423454269253,9,-1.1810685201432427,-2.604910865570168,2
5,0.8,1,-0.90034913774013,9,-1.1810685201432427,-2.0814176578833727,1
1,-0.8,1,-1.080429354603082,9,-1.1810685201432427,-2.2614978747463246,4
2,-0.4,8,-0.3489647038101714,9,-1.1810685201432427,-1.530033223953414,4
1,-0.8,8,-0.15415211813539506,9,-1.1810685201432427,-1.3352206382786378,5
3,0.0,8,-0.11696635531147907,9,-1.1810685201432427,-1.2980348754547217,3
5,0.8,8,-0.39766593217111934,9,-1.1810685201432427,-1.578734452314362,1
5,0.8,8,-0.35406969964944435,9,-1.1810685201432427,-1.535138219792687,1
4,0.40000000000000013,8,0.1406799430479635,9,-1.1810685201432427,-1.0403885770952792,3
